data,R,sd,lo,hi,regione
2020-06-28,0.06179235869285071,0.05647304427093547,0.000584487302798856,0.22879898143067365,Veneto
2020-06-29,0.06179235869285071,0.05647304427093547,0.000584487302798856,0.22879898143067365,Veneto
2020-06-30,0.06179235869285071,0.05647304427093547,0.000584487302798856,0.22879898143067365,Veneto
2020-07-01,0.06179235869285071,0.05647304427093547,0.000584487302798856,0.22879898143067365,Veneto
2020-07-02,0.06179235869285071,0.05647304427093547,0.000584487302798856,0.22879898143067365,Veneto
2020-07-03,0.06179235869285071,0.05647304427093547,0.000584487302798856,0.22879898143067365,Veneto
2020-07-04,0.06179235869285071,0.05647304427093547,0.000584487302798856,0.22879898143067365,Veneto
2020-07-05,0.06179235869285071,0.05647304427093547,0.000584487302798856,0.22879898143067365,Veneto
2020-07-06,0.06179235869285071,0.05647304427093547,0.000584487302798856,0.22879898143067365,Veneto
2020-07-07,0.06179235869285071,0.05647304427093547,0.000584487302798856,0.22879898143067365,Veneto
2020-07-08,0.06179235869285071,0.05647304427093547,0.000584487302798856,0.22879898143067365,Veneto
2020-07-09,0.3356891883697127,0.12715295910454544,0.1433861266650769,0.7413876475621767,Veneto
2020-07-10,0.3356891883697127,0.12715295910454544,0.1433861266650769,0.7413876475621767,Veneto
2020-07-11,0.6322879651872366,0.18993001901284007,0.3305363436260916,1.2302176765989228,Veneto
2020-07-12,0.9312016684215477,0.25082270781670124,0.4803004509092421,1.6736991399454484,Veneto
2020-07-13,1.2908498586981316,0.3324014660571758,0.6889547191060659,2.263101477030875,Veneto
2020-07-14,1.8944687478000546,0.4209392457772113,1.14397305008527,3.099987578771459,Veneto
2020-07-15,2.1804460569362147,0.46608232286855705,1.3311330596282198,3.5135190968064918,Veneto
2020-07-16,2.2423730123894723,0.44546658119131316,1.4176020165988958,3.4678816112833255,Veneto
2020-07-17,2.4864123790802366,0.4763028827439846,1.5815684289239742,3.798961029822483,Veneto
2020-07-18,2.294476753032588,0.4303675138594274,1.4541543571073636,3.4544329956515987,Veneto
2020-07-19,2.1668528897302903,0.393923313059698,1.4157884295630272,3.2474793053220568,Veneto
2020-07-20,1.9018477716322868,0.3277743493944482,1.268731279217065,2.784430830791468,Veneto
2020-07-21,1.4336119087881276,0.25745983056556876,0.9029690442275873,2.129188841847258,Veneto
2020-07-22,1.289943262748277,0.23055746098561225,0.8075309661587768,1.900091133209298,Veneto
2020-07-23,1.032329983042287,0.19418075426791861,0.6142812673092362,1.5415274364190152,Veneto
